Airline,Journey_Date,Journey_Day,Journey_Month,Flight_Time_Slot,Source,Destination,Route,Airports_Visited,Route_Type,Departure_Time,Arrival_Time,Arrival_Day,Duration,Total_Stops,Additional_Info,Price,Duration_Minutes,Extra_Baggage_Payment
IndiGo,24-03-2019,Sunday,March,Evening,Banglore,New Delhi,BLR → DEL,2,Direct,22:20,1:10,25-03-2019,2h 50m,0,No info,3897,170,Yes
Air India,01-05-2019,Wednesday,May,Night,Kolkata,Banglore,CCU → IXR → BBI → BLR,4,Two Stops,5:50,13:15,01-05-2019,7h 25m,2,No info,7662,445,Yes
Jet Airways,09-06-2019,Sunday,June,Morning,Delhi,Cochin,DEL → LKO → BOM → COK,4,Two Stops,9:25,4:25,10-06-2019,19h,2,No info,13882,1140,Yes
IndiGo,12-05-2019,Sunday,May,Evening,Kolkata,Banglore,CCU → NAG → BLR,3,One Stop,18:05,23:30,12-05-2019,5h 25m,1,No info,6218,325,Yes
IndiGo,01-03-2019,Friday,March,Afternoon,Banglore,New Delhi,BLR → NAG → DEL,3,One Stop,16:50,21:35,01-03-2019,4h 45m,1,No info,13302,285,No
SpiceJet,24-06-2019,Monday,June,Morning,Kolkata,Banglore,CCU → BLR,2,Direct,9:00,11:25,24-06-2019,2h 25m,0,No info,3873,145,No
Jet Airways,12-03-2019,Tuesday,March,Evening,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,18:55,10:25,13-03-2019,15h 30m,1,In-flight meal included,11087,930,No
Jet Airways,01-03-2019,Friday,March,Morning,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,8:00,5:05,02-03-2019,21h 5m,1,No info,22270,1265,No
Jet Airways,12-03-2019,Tuesday,March,Morning,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,8:55,10:25,12-03-2019,25h 30m,1,In-flight meal included,11087,1530,No
Multiple carriers,27-05-2019,Monday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,11:25,19:15,27-05-2019,7h 50m,1,No info,8625,470,No
